,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
5698,FDP49,9.0,Regular,0.06919637599999999,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982
5699,DRI11,12.792854228644996,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.6679999999997
5700,FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224
5701,FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086
5702,FDW12,12.792854228644996,Regular,0.035399923,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432
5703,NCB30,14.6,Low Fat,0.025698133999999997,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672
5704,FDC37,12.792854228644996,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876
5705,FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025
5706,NCD06,13.0,Low Fat,0.099887103,Household,45.906000000000006,OUT017,2007,Medium,Tier 2,Supermarket Type1,838.908
5707,FDV10,7.645,Regular,0.06669343700000001,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28
5708,DRJ59,11.65,Low Fat,0.019356131999999998,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312
5709,FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,1998,Medium,Tier 3,Grocery Store,178.4344
5710,FDC14,12.792854228644996,Regular,0.072221801,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362
5711,FDV38,19.25,Low Fat,0.17034855100000001,Dairy,55.7956,OUT010,1998,Medium,Tier 3,Grocery Store,163.7868
5712,NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644
5713,FDP33,18.7,Low Fat,0.0,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064
5714,FDO23,17.85,Low Fat,0.0,Breads,93.1436,OUT045,2002,Medium,Tier 2,Supermarket Type1,2174.5028
5715,DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856
5716,NCX29,10.0,Low Fat,0.08929113699999999,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652
5717,FDV20,12.792854228644996,Regular,0.059511812000000004,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916
5718,DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044
5719,FDX10,12.792854228644996,Regular,0.12311145300000001,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614
5720,FDB34,12.792854228644996,Low Fat,0.026480953999999998,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495
5721,FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
5722,FDK43,9.8,Low Fat,0.02681843,Meat,126.00200000000001,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534
5723,FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768
5724,FDC02,21.35,Low Fat,0.06910283099999999,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228
5725,FDL50,12.15,Regular,0.042277867000000004,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138
5726,FDM39,6.42,Low Fat,0.08949892599999999,Dairy,178.1002,OUT010,1998,Medium,Tier 3,Grocery Store,358.2004
5727,NCP05,19.6,Low Fat,0.0,Health and Hygiene,153.3024,OUT045,2002,Medium,Tier 2,Supermarket Type1,2428.8384
5728,FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,OUT045,2002,Medium,Tier 2,Supermarket Type1,5815.0972
5729,FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646
5730,FDS02,12.792854228644996,Regular,0.25539489600000004,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176
5731,NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864
5732,FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924
5733,FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444
5734,FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,Medium,Tier 2,Supermarket Type1,3121.2704
5735,NCP18,12.15,Low Fat,0.028760012999999997,Household,151.4708,OUT017,2007,Medium,Tier 2,Supermarket Type1,4815.0656
5736,FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52
5737,NCX54,9.195,Low Fat,0.048157338,Household,106.1622,OUT045,2002,Medium,Tier 2,Supermarket Type1,2117.244
5738,DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626
5739,FDY21,15.1,Low Fat,0.17348130399999998,Snack Foods,194.511,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275
5740,FDI26,12.792854228644996,Low Fat,0.061082177,Canned,180.0344,OUT019,1985,Small,Tier 1,Grocery Store,892.172
5741,FDM20,10.0,Low Fat,0.0,Fruits and Vegetables,246.9144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872
5742,FDV27,7.97,Regular,0.040071131,Meat,87.3514,OUT045,2002,Medium,Tier 2,Supermarket Type1,1062.6168
5743,FDF09,12.792854228644996,Low Fat,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024
5744,FDY40,12.792854228644996,Regular,0.15028599,Frozen Foods,51.0692,OUT019,1985,Small,Tier 1,Grocery Store,147.8076
5745,FDY45,12.792854228644996,Low Fat,0.026015518999999997,Snack Foods,255.8356,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356
5746,FDC46,17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,1998,Medium,Tier 3,Grocery Store,184.4266
5747,FDH19,19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664
5748,FDZ03,13.65,Regular,0.078946455,Dairy,186.024,OUT045,2002,Medium,Tier 2,Supermarket Type1,1118.5439999999999
5749,DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,2002,Medium,Tier 2,Supermarket Type1,2302.3364
5750,NCI17,8.645,Low Fat,0.14342264300000002,Health and Hygiene,95.84100000000001,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361
5751,FDJ58,15.6,Regular,0.10529607199999999,Snack Foods,170.1764,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
5752,FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,1987,High,Tier 3,Supermarket Type1,599.22
5753,FDH35,18.25,Low Fat,0.0,Starchy Foods,164.7526,OUT045,2002,Medium,Tier 2,Supermarket Type1,4604.6728
5754,FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,2007,Medium,Tier 2,Supermarket Type1,2285.0256
5755,NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356
5756,FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.3520000000003
5757,FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954
5758,FDN48,12.792854228644996,Low Fat,0.113720344,Baking Goods,89.9804,OUT019,1985,Small,Tier 1,Grocery Store,643.1628
5759,FDL04,19.0,Low Fat,0.11255650699999999,Frozen Foods,104.9622,OUT017,2007,Medium,Tier 2,Supermarket Type1,1587.933
5760,FDV25,5.905,Low Fat,0.0,Canned,222.5456,OUT045,2002,Medium,Tier 2,Supermarket Type1,5305.0944
5761,FDD58,7.76,Low Fat,0.05935224099999999,Snack Foods,101.87,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79
5762,FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752
5763,FDV45,16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89
5764,NCL18,12.792854228644996,Low Fat,0.293417759,Household,194.6136,OUT019,1985,Small,Tier 1,Grocery Store,583.2408
5765,FDR12,12.792854228644996,Regular,0.031382044,Baking Goods,171.3764,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752
5766,FDG20,15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,2007,Medium,Tier 2,Supermarket Type1,2479.4392
5767,FDZ55,6.055,Low Fat,0.025403897999999998,Fruits and Vegetables,160.99200000000002,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.4640000000004
5768,FDQ49,12.792854228644996,Regular,0.039057677,Breakfast,155.963,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723
5769,FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052
5770,FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504
5771,FDW20,20.75,Low Fat,0.040421193,Fruits and Vegetables,122.17299999999999,OUT010,1998,Medium,Tier 3,Grocery Store,369.519
5772,DRG27,8.895,Low Fat,0.10527411099999999,Dairy,39.9138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346
5773,DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,2002,Medium,Tier 2,Supermarket Type1,1381.535
5774,FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523
5775,NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412
5776,FDU04,12.792854228644996,Low Fat,0.009714595,Frozen Foods,120.0414,OUT019,1985,Small,Tier 1,Grocery Store,487.3656
5777,FDF41,12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73
5778,FDB56,8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112
5779,NCP18,12.792854228644996,Low Fat,0.028459761,Household,149.9708,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532
5780,FDB56,8.75,Regular,0.07462720099999999,Fruits and Vegetables,187.8556,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892
5781,FDT28,13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,2002,Medium,Tier 2,Supermarket Type1,1805.6496
5782,FDD10,12.792854228644996,Regular,0.045797829000000005,Snack Foods,178.5344,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504
5783,FDW57,8.31,Regular,0.11585722300000001,Snack Foods,179.1028,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616
5784,DRB48,16.75,Regular,0.024832806000000002,Soft Drinks,38.7822,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974
5785,FDP09,19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853
5786,FDH14,17.1,Regular,0.046769599999999995,Canned,141.1838,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408
5787,FDA47,10.5,Regular,0.11657670199999999,Baking Goods,163.121,OUT013,1987,High,Tier 3,Supermarket Type1,1794.3310000000001
5788,FDG12,6.635,Regular,0.0,Baking Goods,121.3098,OUT045,2002,Medium,Tier 2,Supermarket Type1,2530.7058
5789,DRE60,12.792854228644996,Low Fat,0.278974075,Soft Drinks,225.372,OUT019,1985,Small,Tier 1,Grocery Store,679.1160000000001
5790,DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,1987,High,Tier 3,Supermarket Type1,812.2760000000001
5791,FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09
5792,FDS52,8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,2007,Medium,Tier 2,Supermarket Type1,2732.4432
5793,FDW39,12.792854228644996,Regular,0.064625342,Meat,176.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437
5794,FDX34,12.792854228644996,Low Fat,0.071636937,Snack Foods,121.7098,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.3332
5795,FDV11,9.1,Regular,0.0,Breads,173.2054,OUT045,2002,Medium,Tier 2,Supermarket Type1,3151.8972
5796,FDD17,7.5,Low Fat,0.032677677999999995,Frozen Foods,239.0906,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265
5797,FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,2007,Medium,Tier 2,Supermarket Type1,4843.695
5798,FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244
5799,DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,2007,Medium,Tier 2,Supermarket Type1,2552.6772
5800,FDY58,11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847
5801,NCF19,13.0,Low Fat,0.035307322,Household,47.5034,OUT017,2007,Medium,Tier 2,Supermarket Type1,680.4476
5802,DRJ13,12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,2002,Medium,Tier 2,Supermarket Type1,2085.9514
5803,FDB14,20.25,Regular,0.171938781,Canned,92.512,OUT010,1998,Medium,Tier 3,Grocery Store,186.424
5804,FDJ38,8.6,Regular,0.040197932,Canned,190.153,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048
5805,FDW11,12.6,Low Fat,0.049058014000000004,Breads,62.7194,OUT017,2007,Medium,Tier 2,Supermarket Type1,866.8716
5806,FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,2004,Small,Tier 2,Supermarket Type1,868.8689999999999
5807,DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864
5808,FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,2007,Medium,Tier 2,Supermarket Type1,928.1252
5809,DRG23,8.88,Low Fat,0.08670898699999999,Hard Drinks,151.7682,OUT013,1987,High,Tier 3,Supermarket Type1,762.341
5810,NCP30,20.5,Low Fat,0.032835147,Household,40.2822,OUT045,2002,Medium,Tier 2,Supermarket Type1,707.0796
5811,FDY25,12.792854228644996,Low Fat,0.033809913,Canned,180.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.2944
5812,NCH54,13.5,Low Fat,0.07266912,Household,160.292,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128
5813,NCR53,12.792854228644996,Low Fat,0.144338493,Health and Hygiene,224.4404,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.2524
5814,FDS52,8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,1998,Medium,Tier 3,Grocery Store,101.2016
5815,FDG02,7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.0939999999999
5816,NCO26,7.235,Low Fat,0.076855628,Household,116.0492,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364
5817,FDH35,12.792854228644996,Low Fat,0.059956876,Starchy Foods,165.4526,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832
5818,FDB51,6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,2002,Medium,Tier 2,Supermarket Type1,1314.2892
5819,FDX44,9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,2007,Medium,Tier 2,Supermarket Type1,535.3032
5820,NCN07,18.5,Low Fat,0.056816465,Others,132.1284,OUT010,1998,Medium,Tier 3,Grocery Store,263.6568
5821,NCC31,8.02,Low Fat,0.019866705,Household,154.5972,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748
5822,NCX54,9.195,Low Fat,0.048331717,Household,105.1622,OUT017,2007,Medium,Tier 2,Supermarket Type1,1693.7952
5823,NCO55,12.8,Low Fat,0.091221855,Others,105.5938,OUT045,2002,Medium,Tier 2,Supermarket Type1,2143.876
5824,NCC30,16.6,Low Fat,0.027622076000000002,Household,177.6344,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.5159999999996
5825,FDI16,14.0,Regular,0.0,Frozen Foods,53.06399999999999,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488
5826,FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406
5827,FDB11,16.0,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312
5828,NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92
5829,FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311
5830,NCO26,7.235,Low Fat,0.076841095,Household,117.5492,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364
5831,DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,2007,Medium,Tier 2,Supermarket Type1,1034.6532
5832,FDR28,13.85,Regular,0.026001976,Frozen Foods,161.52100000000002,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.3310000000001
5833,FDI04,13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964
5834,DRK12,12.792854228644996,Low Fat,0.041683481,Soft Drinks,31.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83
5835,FDX20,7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208
5836,NCI18,18.35,Low Fat,0.014081156000000001,Household,223.5746,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936
5837,FDB36,5.465,Regular,0.0,Baking Goods,132.5626,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252
5838,FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,2007,Medium,Tier 2,Supermarket Type1,1910.1802
5839,DRD24,13.85,Low Fat,0.030969273999999998,Soft Drinks,140.9154,OUT017,2007,Medium,Tier 2,Supermarket Type1,1701.7848
5840,FDQ28,14.0,Regular,0.06037677599999999,Frozen Foods,154.5656,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496
5841,FDM22,14.0,Regular,0.04192285,Snack Foods,54.763999999999996,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6
5842,FDR07,12.792854228644996,Low Fat,0.077367431,Fruits and Vegetables,97.0094,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.9786
5843,FDV25,5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684
5844,DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914
5845,FDW51,6.155,Regular,0.09465987099999999,Meat,214.55599999999998,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728
5846,DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,OUT017,2007,Medium,Tier 2,Supermarket Type1,5375.0034
5847,FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,2007,Medium,Tier 2,Supermarket Type1,2838.9712
5848,FDL50,12.15,Regular,0.042485444000000004,Canned,125.0046,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0644
5849,NCB30,12.792854228644996,Low Fat,0.025578526,Household,198.8084,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.4352
5850,FDW11,12.6,Low Fat,0.048980800000000005,Breads,61.9194,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194
5851,NCM43,14.5,Low Fat,0.019471688,Others,164.821,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573
5852,FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,OUT017,2007,Medium,Tier 2,Supermarket Type1,3823.0236
5853,FDM15,11.8,Regular,0.057373797000000004,Meat,151.4366,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294
5854,FDS31,13.1,Regular,0.044155597000000005,Fruits and Vegetables,178.8318,OUT013,1987,High,Tier 3,Supermarket Type1,3969.4996
5855,FDI32,17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,1998,Medium,Tier 3,Grocery Store,345.5502
5856,FDR47,17.85,Low Fat,0.0,Breads,196.5794,OUT010,1998,Medium,Tier 3,Grocery Store,585.2382
5857,FDB35,12.3,Regular,0.064750025,Starchy Foods,92.6804,OUT045,2002,Medium,Tier 2,Supermarket Type1,1010.6844
5858,NCU05,11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,OUT010,1998,Medium,Tier 3,Grocery Store,161.1236
5859,DRY23,12.792854228644996,Regular,0.191013663,Soft Drinks,42.1112,OUT019,1985,Small,Tier 1,Grocery Store,42.6112
5860,FDO24,11.1,Low Fat,0.176573035,Baking Goods,157.4604,OUT045,2002,Medium,Tier 2,Supermarket Type1,3010.7476
5861,FDQ28,12.792854228644996,Regular,0.060134441,Frozen Foods,153.0656,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.1584
5862,FDV39,11.3,Low Fat,0.0072946519999999996,Meat,198.1426,OUT045,2002,Medium,Tier 2,Supermarket Type1,988.7130000000001
5863,NCO17,12.792854228644996,Low Fat,0.128478462,Health and Hygiene,117.944,OUT019,1985,Small,Tier 1,Grocery Store,239.688
5864,FDU50,5.75,Regular,0.075107656,Dairy,112.8176,OUT013,1987,High,Tier 3,Supermarket Type1,1374.2112
5865,FDT12,12.792854228644996,Regular,0.049381405999999996,Baking Goods,226.8062,OUT027,1985,Medium,Tier 3,Supermarket Type3,4739.8302
5866,FDK58,11.35,Regular,0.045165795999999994,Snack Foods,100.0016,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.0160000000001
5867,FDO08,12.792854228644996,Regular,0.09415375,Fruits and Vegetables,165.7526,OUT019,1985,Small,Tier 1,Grocery Store,657.8104
5868,NCW29,14.0,Low Fat,0.028907832,Health and Hygiene,130.431,OUT049,1999,Medium,Tier 1,Supermarket Type1,778.9860000000001
5869,FDE04,19.75,Regular,0.018059621,Frozen Foods,179.766,OUT045,2002,Medium,Tier 2,Supermarket Type1,2336.958
5870,NCB19,6.525,Low Fat,0.09043609400000001,Household,85.0882,OUT049,1999,Medium,Tier 1,Supermarket Type1,2233.0932
5871,FDV15,10.3,Low Fat,0.146399712,Meat,103.9648,OUT049,1999,Medium,Tier 1,Supermarket Type1,1661.8368
5872,FDL58,5.78,Regular,0.07426435599999999,Snack Foods,264.7568,OUT049,1999,Medium,Tier 1,Supermarket Type1,4745.8224
5873,FDA08,11.85,Regular,0.050186725999999994,Fruits and Vegetables,164.1526,OUT045,2002,Medium,Tier 2,Supermarket Type1,3124.5994
5874,FDT43,16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,2009,Medium,Tier 3,Supermarket Type2,467.3916
5875,NCX06,12.792854228644996,Low Fat,0.01561108,Household,182.5976,OUT027,1985,Medium,Tier 3,Supermarket Type3,5070.7328
5876,FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,OUT046,1997,Small,Tier 1,Supermarket Type1,540.6296
5877,FDB41,19.0,Regular,0.097313129,Frozen Foods,48.0718,OUT046,1997,Small,Tier 1,Supermarket Type1,992.7078
5878,NCN55,14.6,Low Fat,0.059582996,Others,238.8538,OUT049,1999,Medium,Tier 1,Supermarket Type1,6008.845
5879,FDE40,12.792854228644996,Regular,0.09866365199999999,Dairy,62.9194,OUT027,1985,Medium,Tier 3,Supermarket Type3,2105.2596
5880,FDX49,12.792854228644996,Regular,0.101338651,Canned,232.63,OUT027,1985,Medium,Tier 3,Supermarket Type3,5359.69
5881,NCM53,18.75,Low Fat,0.052146455999999994,Health and Hygiene,104.62799999999999,OUT045,2002,Medium,Tier 2,Supermarket Type1,745.696
